Species,HL_extension,Limb_status,LimbN,Comp1,Comp2,Comp3,Substrate category,Clade,SkW,HdL,SVL,FLL,HLL,PSVn,FLprop,HLprop,Disparity,Man,Pes,FL_extension,measured from scan,
Anomalopus_leuckartii,3,1,2,0.071848904,-0.013427342,-0.086656788,soil,Saiphos,7096.23,9.46,102.2,2.86,1.15,55,2.798434442,1.125244618,-0.597693114,2,0,3,,
Anomalopus_verreauxi,2,1,2,0.137824461,-0.091847887,-0.106646858,soil,Saiphos,3695.51,15.33,148.5,6.39,3.27,57,4.303030303,2.202020202,-0.488186512,3,0,3,,
Calyptotis_lepidorostrum,5,2,2,-0.066843401,0.017626886,0.000484885,humus,Saiphos,3014.38,7.79,47.92,5.83,8.96,30,12.16611018,18.69782972,0.349291374,5,5,4,psv,
Calyptotis_scutirostrum,5,3,2,-0.075747479,-0.036705036,-0.000332624,humus,Saiphos,3590.74,8.75,43.85,8.52,11.99,30,19.42987457,27.34321551,0.289383704,5,5,4,y,Cogger 2014
Coeranoscincus_reticulatus,3,1,2,0.059719096,-0.009955765,-0.010560732,humus,Saiphos,6852.77,12.72,155.07,6.36,7.16,76,4.101373573,4.61726962,0.111716241,3,3,3,,
Coggeria_naufragus,3,1,2,0.041257828,0.017459258,0.002005173,sand,Saiphos,3938.79,8.05,98.2,3.73,6.58,50,3.798370672,6.700610998,0.433064884,3,3,3,,
Concinnia_queenslandiae,5,3,2,-0.090575032,-0.024881821,0.040378571,surface,Saiphos,5500.96,17,55,17,25,26,30.90909091,45.45454545,0.319987201,5,5,5,,
Concinnia_tenuis,5,3,2,-0.104649162,-0.055003987,0.021180572,surface,Saiphos,4240.75,17,75,22,32,26,29.33333333,42.66666667,0.312490235,5,5,5,psv,
Ctenotus_leonhardii,5,3,2,-0.129541068,-0.10430957,-0.024016729,surface,Lerista,,13.49,63,18.72,31.98,26,29.71428571,50.76190476,0.414621181,5,5,5,y,
Ctenotus_pantherinus,5,3,2,-0.101568844,-0.11973753,-0.046177805,surface,Lerista,,16,95,24,40,26,25.26315789,42.10526316,0.39999,5,5,5,,
Ctenotus_robustus,5,3,2,-0.092780044,-0.064677305,-0.021633601,surface,Lerista,,15.04,90.53,19.99,32.44,26,22.0810781,35.83342538,0.38377362,5,5,5,,
Eremiascincus_fasciolatus,5,3,2,-0.041314644,0.008705949,0.046628541,surface,Hemiergis,,24,98,27,33,26,27.55102041,33.67346939,0.181812672,5,5,5,psv,
Eremiascincus_isolepis,5,3,2,-0.048922566,-0.031045035,0.038548994,sandy soil,Hemiergis,,16.02,79,24.56,25.72,27,31.08860759,32.55696203,0.045099335,5,5,5,y,"Wilson and Swan 2013, Cogger 2014)"
Eremiascincus_pardalis,5,3,2,-0.0612372,-0.039299213,0.005098736,sandy soil,Hemiergis,,13.17,66,14.41,22.99,26,21.83333333,34.83333333,0.373189509,5,5,5,y,"Wilson and Swan 2013, Cogger 2014)"
Eremiascincus_richardsonii,5,3,2,-0.077954311,-0.018148365,0.038614168,sandy soil,Hemiergis,6687.69,18,83,21,30,26,25.30120482,36.14457831,0.29999,5,5,5,,
Eulamprus_heatwolei,5,3,2,-0.069390278,0.004063546,-0.001606741,surface,Glaphyromorphus,,18.16,89,23.74,36.32,26,26.6741573,40.80898876,0.346356103,5,5,5,y,
Eulamprus_kosciuskoi,5,3,2,-0.092652857,-0.000466718,-0.045893715,surface,Glaphyromorphus,6630.41,16.91,75.11,13.2,24.4,26,17.57422447,32.48568766,0.458997582,5,5,5,psv,
Eulamprus_quoyii,5,3,2,-0.071761968,-0.01496685,-0.006461644,surface,Glaphyromorphus,8127.04,24,95,30,46,26,31.57894737,48.42105263,0.347818526,5,5,5,,
Eulamprus_tympanum,5,3,2,-0.113238073,-0.000395071,-0.024584745,surface,Glaphyromorphus,,15.76,73,20.4,27.45,26,27.94520548,37.60273973,0.256821245,5,5,5,y,
Glaphyromorphus_cracens,5,2,2,-0.05106153,0.002939367,-0.017477371,sandy soil,Glaphyromorphus,2858.18,7.03,44.764,6.03,7.15214,31,13.47064605,15.97743723,0.156873765,5,5,5,,
Glaphyromorphus_fuscicaudis,5,3,2,-0.059403554,-0.03886712,0.020320365,humus,Glaphyromorphus,6305.57,14.1,83.7,16.6,25.9,26,19.83273596,30.94384707,0.359059496,5,5,5,,
Glaphyromorphus_mjobergi,5,3,2,-0.032797721,0.027154017,0.018917363,humus,Glaphyromorphus,3837.3,13.55,67.33,13,18.5,29,19.30788653,27.47660775,0.297281228,5,5,4,,
Glaphyromorphus_punctulatus,5,2,2,-0.009354856,0.032363335,0.02203547,soil,Glaphyromorphus,3709.03,9.78,57.5,7.17,11.23,36,12.46956522,19.53043478,0.361499421,5,5,4,,
Hemiergis_decresiensis,4,2,2,-0.057697918,0.01742824,0.004730988,soil,Hemiergis,3375.11,7.77,45.66,5.87,7.29,40,12.85589137,15.96583443,0.194760664,3,3,4,,
Hemiergis_gracilipes,5,2,2,-0.021529962,0.004709147,-0.007867377,humus,Hemiergis,3648.35,9.3,67.67,9.59,14.15,37,14.17171568,20.91029999,0.322238711,5,5,5,,
Hemiergis_initialis,4,2,2,-0.073395617,0.04683924,0.016432171,soil,Hemiergis,2833.83,4.98,36.73,3.16,5.88,39,8.603321536,16.00871222,0.462506376,5,5,4,,
Hemiergis_millewae,5,3,2,-0.051683167,0.006686622,0.070109307,sandy soil,Hemiergis,3204.59,6.47,43.5,8.02,10.92,37,18.43678161,25.10344828,0.265543448,5,5,4,,
