Species,FL_extension,HL_extension,Limb_status,LimbN,Comp1,Comp2,Clade,Substrate category,HdL,SVL,FLL,HLL,PSVn,logPSV,FLprop,HLprop,Disparity,Man,Pes,measured from scan,environment
Anomalopus_leuckartii,3,3,1,2,-0.077617052,-0.012946353,Saiphos,soil,9.46,102.2,2.86,1.15,55,4.007333185,2.798434442,1.125244618,-0.597693114,2,0,,
Anomalopus_swansoni,0,1,0,0,0.11563341,0.000926155,Saiphos,soil,7.13,84,0,0,58,4.060443011,0,0,0,0,0,,
Anomalopus_verreauxi,3,2,1,2,-0.131199635,-0.047893068,Saiphos,soil,15.33,148.5,6.39,3.27,57,4.043051268,4.303030303,2.202020202,-0.488186512,3,0,,
Calyptotis_lepidorostrum,4,5,2,2,0.054859267,0.054718331,Saiphos,humus,7.79,47.92,5.83,8.96,30,3.401197382,12.16611018,18.69782972,0.349291374,5,5,psv,
Calyptotis_scutirostrum,4,5,3,2,-0.016014496,0.030309831,Saiphos,humus,8.75,43.85,8.52,11.99,30,3.401197382,19.42987457,27.34321551,0.289383704,5,5,y,Cogger 2014
Coeranoscincus_frontalis,2,1,0,0,0.13170787,-0.079611606,Saiphos,humus,18.68,144.55,0,0,55,4.007333185,0,0,0,0,0,,
Coeranoscincus_reticulatus,3,3,1,2,-0.107484226,-0.01004229,Saiphos,humus,12.72,155.07,6.36,7.16,76,4.33073334,4.101373573,4.61726962,0.111716241,3,3,,
Coggeria_naufragus,3,3,1,2,-0.078759039,-0.02592868,Saiphos,sand,8.05,98.2,3.73,6.58,50,3.912023005,3.798370672,6.700610998,0.433064884,3,3,,
Concinnia_queenslandiae,5,5,3,2,-0.052188985,0.021427993,Saiphos,surface,17,55,17,25,26,3.258096538,30.90909091,45.45454545,0.319987201,5,5,psv,
Concinnia_tenuis,5,5,3,2,-0.056309419,0.019246346,Saiphos,surface,17,75,22,32,26,3.258096538,29.33333333,42.66666667,0.312490235,5,5,psv,
Ctenotus_leonhardii,5,5,3,2,-0.002564756,0.078463659,Lerista,surface,13.49,63,18.72,31.98,26,3.258096538,29.71428571,50.76190476,0.414621181,5,5,y,
Ctenotus_pantherinus,5,5,3,2,-0.012081639,0.018506154,Lerista,surface,16,95,24,40,26,3.258096538,25.26315789,42.10526316,0.39999,5,5,,
Ctenotus_robustus,5,5,3,2,-0.03305806,0.054799143,Lerista,surface,15.04,90.53,19.99,32.44,26,3.258096538,22.0810781,35.83342538,0.38377362,5,5,,
Eremiascincus_fasciolatus,5,5,3,2,-0.100516388,0.056012112,Hemiergis,surface,24,98,27,33,26,3.258096538,27.55102041,33.67346939,0.181812672,5,5,psv,
Eremiascincus_isolepis,5,5,3,2,-0.032004028,0.049561655,Hemiergis,sandy soil,16.02,79,24.56,25.72,27,3.295836866,31.08860759,32.55696203,0.045099335,5,5,y,"Wilson and Swan 2013, Cogger 2014)"
Eremiascincus_pardalis,5,5,3,2,0.003669187,0.084022182,Hemiergis,sandy soil,13.17,66,14.41,22.99,26,3.258096538,21.83333333,34.83333333,0.373189509,5,5,y,"Wilson and Swan 2013, Cogger 2014)"
Eremiascincus_richardsonii,5,5,3,2,-0.023579019,0.058588457,Hemiergis,sandy soil,18,83,21,30,26,3.258096538,25.30120482,36.14457831,0.29999,5,5,,
Eulamprus_heatwolei,5,5,3,2,-0.027624584,0.051052511,Glaphyromorphus,surface,18.16,89,23.74,36.32,26,3.258096538,26.6741573,40.80898876,0.346356103,5,5,y,
Eulamprus_kosciuskoi,5,5,3,2,-0.022475737,0.071274299,Glaphyromorphus,surface,16.91,75.11,13.2,24.4,26,3.258096538,17.57422447,32.48568766,0.458997582,5,5,psv,
Eulamprus_quoyii,5,5,3,2,-0.031132237,0.068290131,Glaphyromorphus,surface,24,95,30,46,26,3.258096538,31.57894737,48.42105263,0.347818526,5,5,,
Eulamprus_tympanum,5,5,3,2,8.61E-05,0.05480643,Glaphyromorphus,surface,15.76,73,20.4,27.45,26,3.258096538,27.94520548,37.60273973,0.256821245,5,5,y,
Glaphyromorphus_cracens,5,5,2,2,-0.030564309,0.012110181,Glaphyromorphus,sandy soil,7.03,44.764,6.03,7.15214,31,3.433987204,13.47064605,15.97743723,0.156873765,5,5,psv,
Glaphyromorphus_mjobergi,4,5,3,2,-0.058030581,0.011465313,Glaphyromorphus,humus,13.55,67.33,13,18.5,29,3.36729583,19.30788653,27.47660775,0.297281228,5,5,,
Glaphyromorphus_punctulatus,4,5,2,2,-0.032924131,3.10E-05,Glaphyromorphus,soil,9.78,57.5,7.17,11.23,36,3.583518938,12.46956522,19.53043478,0.361499421,5,5,,
Hemiergis_decresiensis,4,4,2,2,-0.00770786,0.004183226,Hemiergis,soil,7.77,45.66,5.87,7.29,40,3.688879454,12.85589137,15.96583443,0.194760664,3,3,,
Hemiergis_gracilipes,5,5,2,2,-0.03198327,-0.018871847,Hemiergis,humus,9.3,67.67,9.59,14.15,37,3.610917913,14.17171568,20.91029999,0.322238711,5,5,,
Hemiergis_initialis,4,4,2,2,-0.003907341,0.004769683,Hemiergis,soil,4.98,36.73,3.16,5.88,39,3.663561646,8.603321536,16.00871222,0.462506376,5,5,,
Hemiergis_millewae,4,5,3,2,-0.011360074,0.031626343,Hemiergis,sandy soil,6.47,43.5,8.02,10.92,37,3.610917913,18.43678161,25.10344828,0.265543448,5,5,,
Hemiergis_peronii,5,5,3,2,-0.050200547,0.046739456,Hemiergis,sandy soil,9.12,52,8.01,11.18,38,3.63758616,15.40384615,21.5,0.28351668,4,4,,
Hemiergis_quadrilineata,4,4,2,2,0.055954715,0.039638166,Hemiergis,sandy soil,7.11,51.46,5.88,8.6,39,3.663561646,11.42635056,16.71200933,0.316242297,2,2,,
Lerista_aericeps,4,5,2,2,0.035899903,0.03693285,Lerista,sand,5.847387338,42.3,4.3146,9.9828,41,3.713572067,10.2,23.6,0.567739738,4,4,,
Lerista_allochira,4,5,2,2,-0.016342652,-0.00707143,Lerista,surface,5.184,35.954,3.482,7.112,35,3.555348061,9.684596985,19.78083106,0.510333193,2,3,psv,
Lerista_apoda,0,0,0,0,-0.015061341,-0.134041153,Lerista,sand,4.322,74.594,0,0,69,4.234106505,0,0,0,0,0,,
Lerista_arenicola,5,5,3,2,-0.003882749,0.042524978,Lerista,sand,7.523711129,49.1,8.5925,14.8282,33,3.496507561,17.5,30.2,0.420501443,5,5,psv,
Lerista_baynesi,2,4,1,2,0.025805388,0.01432181,Lerista,sandy soil,7.765408178,69.7,0.697,8.1549,41,3.713572067,1,11.7,0.914417783,1,2,Greer,
Lerista_bipes,0,5,1,1,0.035276755,-0.10794314,Lerista,sand,4.886575395,49.9,0,8.3832,44,3.784189634,0,16.8,0.999880728,0,2,,
Lerista_borealis,4,5,2,2,-0.020464804,-0.00941162,Lerista,sandy soil,7.182,57.138,4.524,8.796,40,3.688879454,7.917673002,15.39430852,0.485620098,2,3,,
Lerista_bougainvillii,5,5,3,2,-0.027388383,0.008328701,Lerista,soil,6.41,56.4,8.602735978,14.1,37,3.610917913,15.25307798,25,0.389849232,5,5,,
Lerista_christinae,5,5,3,2,-0.020849298,0.026101377,Lerista,sandy soil,5.412184792,35.135,6.3243,11.2432,32,3.465735903,18,32,0.437461091,4,4,,
Lerista_connivens,1,5,1,1,0.1275815,0.048866419,Lerista,sandy soil,7.516,65.974,0,9.848,43,3.761200116,0,14.92709249,0.999898467,0,2,,
Lerista_desertorum,3,5,1,2,0.032618537,-0.021505908,Lerista,sandy soil,7.859612936,73.4,2.8626,11.5238,44,3.784189634,3.9,15.7,0.751527141,2,3,,
Lerista_distinguenda,4,5,2,2,-0.088217948,-0.020266653,Lerista,soil,5.911337209,38.5,5.236,9.9715,36,3.583518938,13.6,25.9,0.474855854,4,4,,
Lerista_dorsalis,4,5,2,2,0.065295863,0.013348663,Lerista,sandy soil,5.775604714,46.1,4.61,10.3725,40,3.688879454,10,22.5,0.555502,4,4,,
Lerista_edwardsae,2,5,1,1,-0.067622975,-0.083757454,Lerista,sandy soil,8.509569578,72.9,0,10.7892,42,3.737669618,0,14.8,0.999907323,0,2,psv,
Lerista_elegans,5,5,2,2,-0.014194478,0.031140185,Lerista,sandy soil,5.8,42.23,5.202,9.418,33,3.496507561,12.31825716,22.30168127,0.447605903,4,4,psv,
Lerista_eupoda,3,5,1,2,-0.006297743,-0.030970062,Lerista,sandy soil,7.556666667,64.75,3.106666667,11.58,44,3.784189634,4.797940798,17.88416988,0.731658176,2,3,psv,
